Name,Years_Active,Debut_Year,Last_Year,Positions,Bats,Throws,Height,Weight,WAR,AB,H,HR,BA,R,RBI,SB,OBP,SLG,OPS,OPS+
Dave Parker,19,1973,1991, Rightfielder,Left,Right,196,104,40.1,9358,2712,339,0.29,1272,1493,154,0.339,0.471,0.81,121
Tony Pérez,23,1964,1986, First Baseman and Third Baseman,Right,Right,188,79,53.9,9778,2732,379,0.279,1272,1652,49,0.341,0.463,0.804,122
Mike Piazza,16,1992,2007, Catcher and First Baseman,Right,Right,190,90,59.5,6911,2127,427,0.308,1048,1335,17,0.377,0.545,0.922,143
Kirby Puckett,12,1984,1995, Centerfielder,Right,Right,173,80,51.1,7244,2304,207,0.318,1071,1085,134,0.36,0.477,0.837,124
Tim Raines,24,1979,2002, Leftfielder,Both,Right,173,72,69.4,8872,2605,170,0.294,1571,980,808,0.385,0.425,0.81,123
Pee Wee Reese,19,1940,1958, Shortstop and Third Baseman,Right,Right,178,72,68.4,8058,2170,126,0.269,1338,885,232,0.366,0.377,0.743,99
Jim Rice,16,1974,1989, Leftfielder and Designated Hitter,Right,Right,188,90,47.7,8225,2452,382,0.298,1249,1451,58,0.352,0.502,0.854,128
Sam Rice,20,1915,1934, Rightfielder,Left,Right,175,68,54.3,9269,2987,34,0.322,1514,1077,351,0.374,0.427,0.801,112
Branch Rickey,10,1905,1914," Catcher, Leftfielder and First Baseman",Left,Right,175,79,0.6,343,82,3,0.239,38,39,8,0.304,0.324,0.628,98
Cal Ripken Jr.,21,1981,2001, Shortstop and Third Baseman,Right,Right,193,90,95.9,11551,3184,431,0.276,1647,1695,36,0.34,0.447,0.788,112
Phil Rizzuto,16,1941,1956, Shortstop,Right,Right,168,68,42.2,5816,1588,38,0.273,877,563,149,0.351,0.355,0.706,93
Brooks Robinson,23,1955,1977, Third Baseman,Right,Right,185,81,78.5,10654,2848,268,0.267,1232,1357,28,0.322,0.401,0.723,105
Frank Robinson,21,1956,1976, Outfielder and First Baseman,Right,Right,185,83,107.2,10006,2943,586,0.294,1829,1812,204,0.389,0.537,0.926,154
